FEDFUNDS,sentiment,AAPL_21d_Volatility,AAPL_HighVolume,SP500_Return
4.23331740281767,0,0.06707698158421904,1,0
4.013592391012194,0,0.8833138364336728,0,1
0.03624410821324864,1,0.09859700228917678,1,0
0.4964128639039095,1,0.8315889300390757,0,0
1.4638839661549963,0,0.7136332420889928,1,1
3.5601700955126203,0,0.5151153370446462,0,1
3.2979533178582243,1,0.623938461042963,1,1
1.9524765883316675,1,0.8882486686724497,0,1
1.8979683188370315,0,0.44330293600297355,0,0
4.372003086009924,0,0.9280736027785755,0,1
3.9322518612907102,0,0.9161735021033081,0,1
2.4964121367200494,0,0.3026675422714553,0,1
2.6371866327950704,1,0.9171467140375149,1,0
1.2234189743178114,1,0.8324236777192595,1,0
0.537851111151908,1,0.09148502827493987,1,1
4.838356509043293,1,0.8453421230491992,0,0
1.8684699817341182,0,0.6247534650408835,1,1
0.41563042528408145,0,0.7364080505084639,1,1
3.859366610343188,1,0.007421960621229795,0,0
4.401565846167905,0,0.31486767252554126,1,0
2.9822237452885254,0,0.993276675434639,0,0
4.380051838469698,0,0.6570626566021966,0,1
3.022096796293634,1,0.1764476269454227,1,1
2.217217587237268,1,0.6260396513594119,0,1
2.3440969253437927,1,0.4855223323750155,0,0
0.9585656214528315,0,0.9156787813667285,1,1
1.579961147085478,1,0.632096179798201,1,0
1.141777001902452,0,0.030108311984805902,0,1
0.99146039034399,1,0.8613046581319624,0,1
4.210681019721642,1,0.9581960144053357,0,0
0.7095242339183855,1,0.6781789898605823,0,0
4.063777702255912,0,0.5529247270184111,0,1
3.2369464210398236,1,0.877290695950567,0,0
1.0223587275275314,1,0.09823909871495451,1,0
1.2924978338942643,0,0.01535244390194801,0,1
2.9241956540260423,0,0.7233355718399858,0,0
3.711254789700886,0,0.8768106556967734,0,1
1.93222153352874,1,0.6791852439541503,0,1
1.65182164385894,1,0.841529606922985,1,0
4.717753761883248,1,0.4710312529216727,0,0
4.337637769116404,0,0.015596344231596948,1,0
0.264194418689378,0,0.4404488410722709,0,1
0.6130399465322478,0,0.4811378218703418,0,0
0.23307474692039032,0,0.577183670678207,0,0
1.9853337014536354,1,0.23297516729959933,1,0
3.7614132643605673,0,0.15809605557523188,0,1
1.6168878639119022,1,0.7033124956466701,0,0
2.023099005379578,0,0.05490011105080794,1,1
3.3776742552895804,1,0.12449693834629705,0,0
4.22916900673245,0,0.9221791001856944,1,0
2.719973679577388,1,0.5332769433756585,1,1
2.5816472399265527,1,0.8950208347730353,1,0
1.5614947538383657,1,0.24268876092070157,1,1
0.596601240006473,1,0.13074920810441426,0,0
2.4623100800882853,0,0.4942978469834495,0,1
0.9824324020665653,0,0.7336019753320342,0,0
4.038392418769122,0,0.24311136825837332,0,0
3.6146628150612363,1,0.4463909787898449,0,0
3.3568080915972227,1,0.1974140547736829,1,1
2.182073122570417,0,0.2716826037670198,0,1
4.695339065931309,1,0.9607811941781889,1,0
2.7351421918561796,1,0.49257869406288335,1,1
0.4970675891113929,1,0.68489522863919,1,1
3.2372959426608046,0,0.29826507348307774,1,1
1.8251922123008613,1,0.03819031140805096,1,0
4.329782235678007,1,0.8560283165850471,1,1
2.3622669891333414,0,0.14426213843220315,1,0
3.0809233224901527,0,0.01699694245079264,1,1
4.904360998286484,0,0.7303998218646641,0,0
3.593826517085078,0,0.9249062227693251,0,1
4.69060601402461,1,0.19072186877514719,0,1
2.5233476015701415,1,0.45382722975665146,1,1
1.512623528517496,0,0.49511421274762846,1,0
0.003885617334027369,1,0.710248666268067,0,1
1.9446460789922482,1,0.04067339610376186,0,1
0.06598311071739305,1,0.7196500994862141,1,1
2.931728242360143,1,0.9022995157632374,1,0
2.2249732692373394,1,0.4748117179817075,1,1
2.247520975656494,0,0.9761030574563023,0,1
1.810058014211478,1,0.204011807580587,1,0
0.264131768987535,0,0.7218920950139033,1,1
2.526779289698578,0,0.13649167860722544,1,1
3.4820645626788043,1,0.04624007410926734,1,1
0.6138776277123426,1,0.3414220239287763,1,0
1.26183469175096,1,0.6201450909908682,1,1
4.879240905453841,1,0.6463600784487864,1,0
2.044819845366892,0,0.17122167265712263,1,1
1.8258365701348211,0,0.2556087637820934,1,0
0.7061833408493762,0,0.20839488716797427,1,1
1.9122521146582594,1,0.8790979978201847,1,1
2.4624810686090663,0,0.05153709938562612,1,1
2.515538656759217,0,0.15897511451889912,0,1
0.9587950948641155,0,0.5585310528720732,1,1
4.838857133830365,1,0.843408056447873,1,1
0.7423465569573667,0,0.9658165265210129,0,1
3.4039288100000906,1,0.5817510139264505,0,0
4.428249338753795,0,0.36753720158512604,1,0
3.7248259271119366,0,0.8064220615604643,1,1
0.32330655918819395,1,0.6532676398403724,0,0
4.634745802804428,0,0.622718405838021,0,0
